PackageContainer_ID,Brand_ID,Container_Size,Unit_Price,Container_Type
574,1833,100 ml bottle,220.0,Bottle
575,1837,50 ml bottle,195.0,Bottle
576,1840,500 mg vial,32.1,Vial
577,1841,15 ml bottle,30.29,Bottle
578,1842,100 ml bottle,46.32,Bottle
579,1844,60 ml bottle,14.91,Bottle
580,1848,15 ml bottle,65.2,Bottle
581,1849,100 ml bottle,90.27,Bottle
582,1851,60 ml bottle,22.21,Bottle
583,1860,60 ml bottle,28.0,Bottle
584,1862,50 ml bottle,32.0,Bottle
585,1866,3 ml drop,470.0,Drop
586,1867,3 ml drop,500.0,Drop
587,1869,3 ml drop,451.4,Drop
588,1874,70 ml bottle,250.0,Bottle
589,1877,70 ml bottle,198.0,Bottle
590,1879,1 gm vial,550.0,Vial
591,1880,750 mg vial,125.86,Vial
592,1881,70 ml bottle,216.46,Bottle
593,1885,70 ml bottle,190.58,Bottle
594,1891,70 ml bottle,200.0,Bottle
595,1894,70 ml bottle,250.0,Bottle
596,1898,750 mg vial,125.0,Vial
597,1899,1.5 gm vial,200.0,Vial
598,1900,70 ml bottle,225.0,Bottle
599,1904,70 ml bottle,250.0,Bottle
600,1909,120 metered doses,577.16,Inhaler
601,1910,120 metered doses,752.83,Inhaler
602,1914,50 ml bottle,55.0,Bottle
603,1918,50 ml bottle,55.0,Bottle
604,1923,1 gm vial,200.0,Vial
605,1924,250 mg vial,100.0,Vial
606,1925,500 mg vial,130.0,Vial
607,1926,1 gm vial,200.0,Vial
608,1927,250 mg vial,100.0,Vial
609,1928,2 gm vial,300.0,Vial
610,1929,500 mg vial,130.0,Vial
611,1930,1 gm vial,180.0,Vial
612,1931,250 mg vial,90.0,Vial
613,1932,500 mg vial,120.46,Vial
614,1933,1 gm vial,180.0,Vial
615,1934,250 mg vial,90.0,Vial
616,1935,2 gm vial,290.0,Vial
617,1936,500 mg vial,120.46,Vial
618,1938,100 ml bottle,40.0,Bottle
619,1941,2.5 ml drop,120.0,Drop
620,1953,200 metered doses,270.0,Inhaler
621,1954,200 metered doses,320.0,Inhaler
622,1959,120 metered sprays,320.0,Inhaler
623,1960,120 metered sprays,180.0,Inhaler
624,1961,10 gm tube,75.51,Tube
625,1962,120 metered sprays,180.54,Inhaler
626,1967,15 ml bottle,100.0,Bottle
627,1971,2.5 ml drop,120.0,Drop
628,1972,1 gm sachet,80.0,Sachet
629,1999,2.5 ml drop,110.0,Drop
630,2019,15 ml bottle,85.0,Bottle
631,2023,500 mg vial,460.0,Vial
632,2030,30 ml bottle,120.0,Bottle
633,2031,35 ml bottle,140.0,Bottle
634,2034,15 ml bottle,85.0,Bottle
635,2036,200 metered doses (refill),220.0,Inhaler
